key,version,date_from,date_to,CodigoCNAEPrincipal,DescricaoCNAEPrincipal
151,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2610800,"FABRICAÇÃO DE C"
152,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2621300,"FABRICAÇÃO DE E"
153,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2622100,"FABRICAÇÃO DE P"
154,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2631100,"FABRICAÇÃO DE E"
155,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2632900,"FABRICAÇÃO DE A"
156,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2640000,"FABRICAÇÃO DE A"
157,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2651500,"FABRICAÇÃO DE A"
158,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2652300,"FABRICAÇÃO DE C"
159,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2660400,"FABRICAÇÃO DE A"
160,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2670101,"FABRICAÇÃO DE E"
161,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2710401,"FABRICAÇÃO DE G"
162,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2710402,"FABRICAÇÃO DE T"
163,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2721000,"FABRICAÇÃO DE P"
164,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2722801,"FABRICAÇÃO DE B"
165,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2731700,"FABRICAÇÃO DE A"
166,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2732500,"FABRICAÇÃO DE M"
167,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2733300,"FABRICAÇÃO DE F"
168,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2740601,"FABRICAÇÃO DE L"
169,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2740602,"FABRICAÇÃO DE L"
170,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2751100,"FABRICAÇÃO DE F"
171,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2759701,"FABRICAÇÃO DE A"
172,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2759799,"FABRICAÇÃO DE O"
173,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2790202,"FABRICAÇÃO DE E"
174,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2790299,"FABRICAÇÃO DE O"
175,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2812700,"FABRICAÇÃO DE E"
176,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2813500,"FABRICAÇÃO DE V"
177,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2814301,"FABRICAÇÃO DE C"
178,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2814302,"FABRICAÇÃO DE C"
179,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2821601,"FABRICAÇÃO DE F"
180,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2821602,"FABRICAÇÃO DE E"
181,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2822401,"FABRICAÇÃO DE M"
182,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2822402,"FABRICAÇÃO DE M"
183,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2823200,"FABRICAÇÃO DE M"
184,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2824101,"FABRICAÇÃO DE A"
185,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2824102,"FABRICAÇÃO DE A"
186,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2829199,"FABRICAÇÃO DE O"
187,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2831300,"FABRICAÇÃO DE T"
188,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2833000,"FABRICAÇÃO DE M"
189,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2840200,"FABRICAÇÃO DE M"
190,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2853400,"FABRICAÇÃO DE T"
191,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2854200,"FABRICAÇÃO DE M"
192,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2861500,"FABRICAÇÃO DE M"
193,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2862300,"FABRICAÇÃO DE M"
194,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2864000,"FABRICAÇÃO DE M"
195,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2869100,"FABRICAÇÃO DE M"
196,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2910701,"FABRICAÇÃO DE A"
197,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2910703,"FABRICAÇÃO DE M"
198,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2920401,"FABRICAÇÃO DE C"
199,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2930101,"FABRICAÇÃO DE C"
200,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2930103,"FABRICAÇÃO DE C"
201,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2941700,"FABRICAÇÃO DE P"
202,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2943300,"FABRICAÇÃO DE P"
203,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2945000,"FABRICAÇÃO DE M"
204,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2949299,"FABRICAÇÃO DE O"
205,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2950600,RECONDICIONAMEN
206,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3012100,"CONSTRUÇÃO DE E"
207,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3092000,"FABRICAÇÃO DE B"
208,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3099700,"FABRICAÇÃO DE E"
209,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3101200,"FABRICAÇÃO DE M"
210,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",3102100,"FABRICAÇÃO DE M"
