assuntokey;CNAEPrincipalkey;datakey;radicalcnpjkey;codigoproblemakey;tipoatendimentokey;PorcentagemReclamacoesPorProblema;PorcentagemReclamacoesPorAssunto;PorcentagemReclamacoesPorCNPJ
155;252;6084;1163;4476;2;73;2;19
138;172;6652;26655;1524;6;22;2;400
101;624;17610;23964;1487;6;8;0;136
52;607;9135;23699;515;2;5;0;259
207;707;18294;287;3967;2;21;1;1
100;419;18361;25272;1608;2;8;0;137
62;595;2256;28042;498;6;22;2;1242
223;587;14543;7748;3415;6;23;1;53
157;575;10137;24649;4447;3;43;1;243
75;595;7756;28042;4652;2;59;0;361
156;571;13061;14450;2552;2;19;1;110
206;690;7836;3655;4768;3;60;2;46
53;595;16013;27739;489;2;3;0;173
156;575;1411;24566;2573;6;182;11;1741
121;445;15270;4103;1507;2;9;0;26
92;814;15776;2344;2203;6;13;0;14
93;170;11915;30719;1479;2;12;0;257
53;730;19043;8049;558;2;2;0;42
155;252;3702;1163;4043;1;109;4;31
157;575;846;24566;2553;6;301;18;2903
156;571;12927;14450;4477;2;34;1;111
157;575;15548;24322;2638;2;16;1;156
73;658;19255;2338;942;2;4;0;12
78;626;11278;28150;541;2;4;0;249
133;480;3850;4214;2078;6;53;3;109
52;595;6285;28042;4572;3;72;0;446
63;730;8837;203;499;3;5;0;2
52;595;9721;22081;4632;2;47;0;227
146;624;17676;21356;1407;6;7;0;120
157;575;835;24566;2553;3;305;18;2942
53;626;9924;28150;516;6;5;0;283
228;516;19604;23979;3882;3;19;1;122
93;445;16455;4602;1601;2;9;0;27
155;252;3680;1163;4043;1;109;4;31
157;575;11513;24649;4478;2;38;1;214
75;571;18695;21265;511;3;2;0;113
75;595;12176;1;4594;2;37;0;0
228;516;12584;33939;3916;6;31;1;269
52;595;9752;28042;4632;2;47;0;287
52;595;8796;28042;515;2;5;0;318
218;580;11982;29934;4780;2;39;1;249
75;596;15961;23378;538;2;3;0;146
131;473;6403;3091;1578;2;24;2;48
53;419;1282;25272;558;1;43;4;1971
157;575;956;24566;2553;6;267;16;2569
228;543;2373;5119;3351;3;141;9;215
62;584;13316;29197;611;3;4;0;219
139;420;14911;21280;1525;2;10;0;142
218;580;18202;29934;3909;3;21;1;164
218;590;17536;4223;3601;1;20;1;24
53;581;4235;32491;516;6;12;1;767
157;575;9468;24649;2553;2;26;1;260
52;595;9677;22081;4632;2;47;0;228
52;595;13293;1;515;3;3;0;0
54;637;16118;24641;517;1;3;0;152
119;446;5654;18234;1505;6;26;2;322
155;252;17014;1163;2551;1;14;0;6
155;252;3658;1163;4043;1;110;4;31
157;575;1506;24566;2553;6;169;10;1631
100;156;2610;16682;1486;6;56;3;639
95;812;16366;29644;1481;6;9;0;181
155;252;3647;1163;4043;1;110;4;31
75;595;6816;33382;4594;2;67;1;489
157;575;560;23;4478;3;799;28;4
157;575;10071;24649;4447;3;44;1;244
234;626;1764;28150;3277;6;185;13;1595
52;595;7013;22081;4572;2;65;0;314
102;489;18474;16706;1890;3;10;0;90
52;595;11571;22081;515;2;4;0;190
156;571;18067;21265;2552;3;14;0;117
54;637;6379;15957;4508;6;70;0;250
100;156;16411;16682;1486;1;9;0;101
52;595;2961;28042;4572;3;154;1;947
123;422;11046;25721;1570;2;14;1;232
100;445;9026;24390;1486;3;16;1;270
240;442;4881;16609;1534;6;31;4;340
155;252;14956;1163;2551;2;17;1;7
228;705;19520;23221;3882;1;19;1;118
100;420;16567;21280;1486;2;8;0;128
53;637;14606;15957;516;6;3;0;109
52;631;13517;675;515;6;3;0;4
157;575;9666;24649;2553;2;26;1;255
170;465;19807;22208;2977;8;15;0;112
157;575;5882;26838;2553;3;43;2;456
157;575;1528;24566;2553;6;167;10;1607
94;624;17595;7098;1480;6;8;0;40
155;252;16794;1163;2572;2;15;0;6
240;445;12878;29360;1656;6;12;1;227
155;252;10389;1163;2572;2;24;1;11
221;373;14395;27284;3604;6;25;1;189
62;601;10163;21540;525;3;5;0;211
100;378;2100;16682;1486;6;70;4;794
52;595;14713;33382;557;1;3;0;226
54;637;19716;5373;517;6;2;0;27
155;252;18038;1163;2572;3;14;0;6
157;575;5889;24649;4489;2;76;2;418
53;595;1951;33382;4507;3;231;2;1711
53;595;3854;28192;4633;3;120;1;731
53;595;17902;24611;924;6;5;0;137
100;387;2393;34343;1486;6;62;4;1435
157;575;7366;24649;2553;2;34;2;334
53;595;4388;18709;1065;2;24;1;426
53;595;9581;1;558;2;5;0;0
52;596;4629;23378;515;2;11;1;505
52;595;4981;28192;488;2;9;1;565
100;389;15694;5300;1486;2;9;0;33
95;445;11681;21309;1481;6;12;0;182
75;742;6859;30176;4594;1;66;1;439
148;614;14002;28333;2488;4;17;1;202
157;575;11614;24649;2553;2;21;1;212
157;575;19606;26838;2574;3;13;0;136
62;741;15709;24483;525;1;3;0;155
236;631;12661;1752;4410;6;34;1;13
52;595;9290;28042;4655;1;50;0;301
52;595;3505;28192;4572;3;130;1;804
73;658;255;28460;4593;3;1801;28;11160
236;631;7655;17954;4384;3;57;3;234
62;575;1940;24566;4582;6;236;3;1266
203;705;18272;1039;3963;2;21;1;5
206;794;17184;33245;3251;2;18;1;193
157;575;7355;24649;2553;3;34;2;335
86;442;7663;1370;1812;3;23;1;17
148;516;14061;21426;4481;6;31;1;152
93;814;18384;10903;1479;6;8;0;59
52;595;12972;1;4572;2;35;0;0
73;658;1124;28460;4593;3;408;6;2532
100;156;6660;16682;1486;2;22;1;250
133;723;364;741;1641;6;450;36;203
121;445;8072;24390;1507;6;18;1;302
52;596;18881;23378;515;2;2;0;123
75;808;13166;30409;538;6;4;0;230
130;300;17291;5084;1855;2;10;0;29
73;658;189;28460;4593;3;2430;38;15058
52;620;4089;26860;960;6;23;1;656
223;705;17807;23221;3606;3;20;1;130
52;595;4462;22081;515;6;11;1;494
93;170;10539;27650;1479;6;14;0;262
107;473;17965;34021;2403;2;13;0;189
53;637;18891;15957;4065;6;21;0;84
91;445;2240;4426;1477;6;65;4;197
153;255;17408;34737;2549;1;14;0;199
234;624;10630;7098;3682;6;34;2;66
155;252;15923;1163;4487;1;28;0;7
153;255;15878;34737;2492;2;15;0;218
